"currency","usd_exchange_rate","last_updated"
"SAR","3.752465","2025-04-15 10:59:05"
"EUR","0.88169","2025-04-15 10:59:05"
"IDR","16816.1","2025-04-15 10:59:05"
"GBP","0.755365","2025-04-15 10:59:05"
"THB","33.529881","2025-04-15 10:59:05"
"VND","25820.0","2025-04-15 10:59:05"
"RUB","82.176834","2025-04-15 10:59:05"
"KRW","1427.35016","2025-04-15 10:59:05"
"AUD","1.572624","2025-04-15 10:59:05"
"BRL","5.8566","2025-04-15 10:59:05"
"MYR","4.412496","2025-04-15 10:59:05"
"PHP","56.655017","2025-04-15 10:59:05"
"INR","85.758301","2025-04-15 10:59:05"
"MXN","20.05682","2025-04-15 10:59:05"
"CAD","1.38652","2025-04-15 10:59:05"
"JPY","142.863501","2025-04-15 10:59:05"
"TRY","38.096017","2025-04-15 10:59:05"
